#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-06-19"
#curie_map:
#  kbase: "http://kbase.us/"
#  mixs: "https://microbiomedata/schema/mixs#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
kbase:city_township	city_township	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:classification	classification	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:classification	classification	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_date_end	collection_date_end	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_date_end	collection_date_end	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_date_precision	collection_date_precision	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_date_precision	collection_date_precision	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_method	collection_method	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_method	collection_method	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_method_description	collection_method_description	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:collection_method_description	collection_method_description	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
